;cbo_desc;total;cbo
0;Trabalhadores dos Serviços;254694;514320
1;Trabalhadores de Funções Transversais;181227;784205
2;Escriturários;127318;411005
3;Técnicos de Nível Médio das Ciências Biológic;116708;322230
4;Trabalhadores da Transformação de Metais e De;84283;724315
5;Trabalhadores da Indústria Extrativa e da Con;83599;717020
6;Vendedores e Prestadores de Serviços do Comér;65409;521110
7;Trabalhadores da Fabricação de Alimentos, Beb;62361;848510
8;Trabalhadores na Exploração Agropecuária;45904;621005
9;Trabalhadores de Atendimento ao Público;44670;421125
