;ano;anoMes;qtde
0;2016;201601;37644
1;2016;201602;38230
2;2016;201603;43037
3;2016;201604;40084
4;2016;201605;40407
5;2016;201606;42128
6;2016;201607;40629
7;2016;201608;43736
8;2016;201609;39781
9;2016;201610;38935
10;2016;201611;37447
11;2016;201612;35981
12;2017;201701;37774
13;2017;201702;35085
14;2017;201703;41794
15;2017;201704;33966
16;2017;201705;33414
17;2017;201706;35866
18;2017;201707;39846
19;2017;201708;43692
20;2017;201709;39316
21;2017;201710;40742
22;2017;201711;37464
23;2017;201712;34880
