uf;ano;qtde
Minas Gerais;1988;95802
Minas Gerais;1989;89049
Minas Gerais;1990;67619
Minas Gerais;1991;65891
Minas Gerais;1992;57695
Minas Gerais;1993;53820
Minas Gerais;1994;52111
Minas Gerais;1995;56249
Minas Gerais;1996;49019
Minas Gerais;1997;51494
Minas Gerais;1998;48643
Minas Gerais;1999;47712
Minas Gerais;2000;41211
Minas Gerais;2001;37423
Minas Gerais;2002;38937
Minas Gerais;2003;41528
Minas Gerais;2004;48913
Minas Gerais;2005;52928
Minas Gerais;2006;52603
Minas Gerais;2007;68835
Minas Gerais;2008;78265
Minas Gerais;2009;77794
Minas Gerais;2010;75407
Minas Gerais;2011;77899
Minas Gerais;2012;77714
Minas Gerais;2013;77743
Minas Gerais;2014;74186
Minas Gerais;2015;63176
Minas Gerais;2016;59334
Minas Gerais;2017;56819
Minas Gerais;2018;83616
Minas Gerais;2019;48751
Minas Gerais;2020;30470
Paraná;1988;70924
Paraná;1989;60356
Paraná;1990;50336
Paraná;1991;44172
Paraná;1992;35944
Paraná;1993;32357
Paraná;1994;21814
Paraná;1995;19774
Paraná;1996;31459
Paraná;1997;30866
Paraná;1998;31046
Paraná;1999;27445
Paraná;2000;25571
Paraná;2001;23231
Paraná;2002;27710
Paraná;2003;29180
Paraná;2004;33661
Paraná;2005;36688
Paraná;2006;37574
Paraná;2007;51470
Paraná;2008;57529
Paraná;2009;54287
Paraná;2010;52075
Paraná;2011;50824
Paraná;2012;50009
Paraná;2013;52574
Paraná;2014;52977
Paraná;2015;47866
Paraná;2016;43549
Paraná;2017;42223
Paraná;2018;64748
Paraná;2019;38094
Paraná;2020;22019
Rio Grande do Sul;1988;99308
Rio Grande do Sul;1989;107701
Rio Grande do Sul;1990;79841
Rio Grande do Sul;1991;58253
Rio Grande do Sul;1992;41769
Rio Grande do Sul;1993;18435
Rio Grande do Sul;1994;13705
Rio Grande do Sul;1995;0
Rio Grande do Sul;1996;39165
Rio Grande do Sul;1997;38735
Rio Grande do Sul;1998;36960
Rio Grande do Sul;1999;35687
Rio Grande do Sul;2000;38008
Rio Grande do Sul;2001;35292
Rio Grande do Sul;2002;39634
Rio Grande do Sul;2003;40135
Rio Grande do Sul;2004;44197
Rio Grande do Sul;2005;44348
Rio Grande do Sul;2006;43798
Rio Grande do Sul;2007;52884
Rio Grande do Sul;2008;63396
Rio Grande do Sul;2009;61945
Rio Grande do Sul;2010;58657
Rio Grande do Sul;2011;57915
Rio Grande do Sul;2012;55397
Rio Grande do Sul;2013;59950
Rio Grande do Sul;2014;60020
Rio Grande do Sul;2015;52272
Rio Grande do Sul;2016;50586
Rio Grande do Sul;2017;47152
Rio Grande do Sul;2018;68333
Rio Grande do Sul;2019;38714
Rio Grande do Sul;2020;23945
Rio de Janeiro;1988;96548
Rio de Janeiro;1989;77241
Rio de Janeiro;1990;57003
Rio de Janeiro;1991;37583
Rio de Janeiro;1992;20863
Rio de Janeiro;1993;7057
Rio de Janeiro;1994;13920
Rio de Janeiro;1995;16172
Rio de Janeiro;1996;26858
Rio de Janeiro;1997;25382
Rio de Janeiro;1998;24738
Rio de Janeiro;1999;23846
Rio de Janeiro;2000;22916
Rio de Janeiro;2001;19313
Rio de Janeiro;2002;26119
Rio de Janeiro;2003;26414
Rio de Janeiro;2004;32225
Rio de Janeiro;2005;35059
Rio de Janeiro;2006;36439
Rio de Janeiro;2007;47930
Rio de Janeiro;2008;53407
Rio de Janeiro;2009;50228
Rio de Janeiro;2010;48365
Rio de Janeiro;2011;49310
Rio de Janeiro;2012;52192
Rio de Janeiro;2013;51471
Rio de Janeiro;2014;52186
Rio de Janeiro;2015;47381
Rio de Janeiro;2016;42192
Rio de Janeiro;2017;37863
Rio de Janeiro;2018;53622
Rio de Janeiro;2019;31722
Rio de Janeiro;2020;16291
São Paulo;1988;446858
São Paulo;1989;400720
São Paulo;1990;309539
São Paulo;1991;316281
São Paulo;1992;293006
São Paulo;1993;237944
São Paulo;1994;225580
São Paulo;1995;260171
São Paulo;1996;175954
São Paulo;1997;194862
São Paulo;1998;192193
São Paulo;1999;172662
São Paulo;2000;147567
São Paulo;2001;133936
São Paulo;2002;154767
São Paulo;2003;151121
São Paulo;2004;173412
São Paulo;2005;185723
São Paulo;2006;191426
São Paulo;2007;234743
São Paulo;2008;265975
São Paulo;2009;249289
São Paulo;2010;244714
São Paulo;2011;250306
São Paulo;2012;247668
São Paulo;2013;251725
São Paulo;2014;241829
São Paulo;2015;210980
São Paulo;2016;200759
São Paulo;2017;190189
São Paulo;2018;287632
São Paulo;2019;177376
São Paulo;2020;96573
